동,주택가 기준 배송 난이도,택배 물동 예측량,1인가구비율,무인택배함개수
서울특별시 성북구 보문동,0.249490586,0.349113112,0.516329023,0
서울특별시 성북구 정릉1동,0.154861847,0.348393203,0.289155298,0
서울특별시 성북구 정릉2동,0.409242807,0.428029751,0.285008064,0.090909091
서울특별시 성북구 정릉3동,0.647893064,0.268272413,0.560204196,0.090909091
서울특별시 성북구 정릉4동,0.351780911,0.463061594,0.305236782,0.090909091
서울특별시 성북구 길음1동,0.032928519,0.493751611,0.132327442,0
서울특별시 성북구 길음2동,0.128861358,0.205666736,0.292346563,0.090909091
서울특별시 성북구 월곡1동,0.275572581,0.372909746,0.272035896,0.090909091
서울특별시 성북구 월곡2동,0.346972043,0.318049971,0.514986211,0.090909091
서울특별시 성북구 장위1동,0.506561252,0.251379658,0.359729119,0.090909091
서울특별시 성북구 장위2동,0.512429701,0.262234209,0.411351851,0
서울특별시 성북구 장위3동,0.287798517,0.198110353,0.308773923,0.181818182
서울특별시 성북구 성북동,0.765669574,0.293705691,0.492626102,0.090909091
서울특별시 성북구 삼선동,0.555709512,0.389293542,0.548557441,0.272727273
서울특별시 성북구 동선동,0.358708941,0.182276358,0.765903898,0.181818182
서울특별시 성북구 종암동,0.438992583,0.452020387,0.40640103,0.181818182
서울특별시 성북구 석관동,0.66810661,0.365890524,0.425759296,0.181818182
서울특별시 강북구 번1동,0.470535496,0.363654491,0.589105975,0.181818182
서울특별시 강북구 번2동,0.12666069,0.350238971,0.378310953,0
서울특별시 강북구 번3동,0.021273127,0.461663049,0.320224507,0
서울특별시 강북구 수유1동,0.502322928,0.346416469,0.456446978,0.181818182
서울특별시 강북구 수유2동,0.260982965,0.425415709,0.356860028,0.090909091
서울특별시 강북구 수유3동,0.519928275,0.405890235,0.611533198,0.090909091
서울특별시 강북구 삼양동,0.635911647,0.347558995,0.358297063,0
서울특별시 강북구 미아동,0.491727117,0.422588881,0.56578797,0.181818182
서울특별시 강북구 송중동,0.63542261,0.39605802,0.430526281,0.090909091
서울특별시 강북구 송천동,0.838454642,0.37715077,0.455749493,0.181818182
서울특별시 강북구 삼각산동,0.010025267,0.544948232,0.185063299,0
서울특별시 강북구 우이동,0.447224713,0.394859696,0.339247994,0.090909091
서울특별시 강북구 인수동,0.720270601,0.476748979,0.358349769,0.181818182
서울특별시 도봉구 쌍문1동,0.429456353,0.441198579,0.328353589,0.090909091
서울특별시 도봉구 쌍문2동,0.232863314,0.450810564,0.36101833,0.272727273
서울특별시 도봉구 쌍문3동,0.252098786,0.390116774,0.451908641,0
서울특별시 도봉구 쌍문4동,0.04352433,0.577349798,0.184750439,0.090909091
서울특별시 도봉구 방학1동,0.354144592,0.66315534,0.352392912,0
서울특별시 도봉구 방학2동,0.478686119,0.426262233,0.384726262,0.181818182
서울특별시 도봉구 방학3동,0.023881327,0.709922954,0.134357959,0
서울특별시 도봉구 창1동,0.169369957,0.461980297,0.332201546,0.090909091
서울특별시 도봉구 창2동,0.241013938,0.544134696,0.282261488,0.090909091
서울특별시 도봉구 창3동,0.294319015,0.291879012,0.377054054,0.272727273
서울특별시 도봉구 창4동,0.011736898,0.551956002,0.2446213,0.090909091
서울특별시 도봉구 창5동,0.063982395,0.532283733,0.272016467,0.272727273
서울특별시 도봉구 도봉1동,0.447469231,0.385518884,0.390523648,0.090909091
서울특별시 도봉구 도봉2동,0.137174994,0.737853974,0.303761067,0.090909091
서울특별시 노원구 월계1동,0.223164072,0.295153191,0.429998313,0.181818182
서울특별시 노원구 월계2동,0.074659712,0.475615929,0.361719522,0.090909091
서울특별시 노원구 월계3동,0.011573885,0.718762574,0.31125971,0
서울특별시 노원구 공릉2동,0.214198386,0.368693537,0.359322196,0.181818182
서울특별시 노원구 하계1동,0.1372565,0.418499451,0.358116451,0
서울특별시 노원구 하계2동,0,0.840653934,0.190287877,0
서울특별시 노원구 중계본동,0.230336621,0.346654511,0.125640096,0
서울특별시 노원구 중계1동,0,0.487386439,0.102535037,0
서울특별시 노원구 중계4동,0.027549108,0.44891675,0.298353028,0
서울특별시 노원구 상계1동,0.171163094,0.60335174,0.260788388,0.181818182
서울특별시 노원구 상계2동,0.207025837,0.247518304,0.352273203,0.090909091
서울특별시 노원구 상계5동,0.317222268,0.358350939,0.350729955,0.181818182
서울특별시 노원구 상계8동,0,0.501985935,0.241365588,0
서울특별시 노원구 상계9동,0,0.515548413,0.237428568,0
서울특별시 노원구 상계10동,0,0.393253826,0.248894075,0
서울특별시 노원구 상계3·4동,0.573151846,0.287170087,0.348860486,0.181818182
서울특별시 노원구 상계6·7동,0,0.410839721,0.306104417,0.181818182
서울특별시 노원구 중계2·3동,0.013693048,0.621881073,0.329328226,0
서울특별시 노원구 공릉1동,0.248594017,0.449676392,0.523339992,0.272727273
서울특별시 은평구 녹번동,0.402722308,0.403597683,0.376083243,0.363636364
서울특별시 은평구 불광1동,0.397587415,0.413284978,0.341805355,0.181818182
서울특별시 은평구 갈현1동,0.488711386,0.34021092,0.402134155,0.363636364
서울특별시 은평구 갈현2동,0.317140761,0.478851068,0.310520634,0.272727273
서울특별시 은평구 구산동,0.3098052,0.457226206,0.257278236,0.090909091
서울특별시 은평구 대조동,0.326595485,0.3372804,0.538068285,0.090909091
서울특별시 은평구 응암1동,0.19333279,0.344848609,0.400963625,0.090909091
서울특별시 은평구 응암2동,0.133262695,0.273580096,0.228684672,0.181818182
서울특별시 은평구 신사1동,0.241339963,0.273580096,0.311850596,0.272727273
서울특별시 은평구 신사2동,0.364658896,0.26277674,0.32131576,0.181818182
서울특별시 은평구 증산동,0.346564512,0.202823739,0.321935859,0.090909091
서울특별시 은평구 수색동,0.103675931,0.174943561,0.302607701,0
서울특별시 은평구 진관동,0.114353248,0.508498092,0.260296276,0.181818182
서울특별시 은평구 불광2동,0.547803407,0.379377432,0.437562528,0.090909091
서울특별시 은평구 응암3동,0.35332953,0.283066762,0.476282892,0.090909091
서울특별시 은평구 역촌동,0.461651316,0.51880323,0.335942338,0.181818182
서울특별시 서대문구 천연동,0.16366452,0.352840878,0.392554845,0
서울특별시 서대문구 홍제1동,0.293422447,0.386375516,0.32919466,0.090909091
서울특별시 서대문구 홍제3동,0.273127394,0.249794599,0.366569225,0.181818182
서울특별시 서대문구 홍제2동,0.082891841,0.41338076,0.295721308,0.181818182
서울특별시 서대문구 홍은1동,0.361561659,0.336410344,0.328453884,0.272727273
서울특별시 서대문구 홍은2동,0.481131307,0.386260393,0.399367234,0.454545455
서울특별시 서대문구 남가좌1동,0.052979053,0.814346471,0.172871718,0
서울특별시 서대문구 남가좌2동,0.28144103,0.350767198,0.420629203,0.454545455
서울특별시 서대문구 북가좌1동,0.128127802,0.402075634,0.181774947,0
서울특별시 서대문구 북가좌2동,0.499633222,0.463322946,0.387453023,0.181818182
서울특별시 서대문구 충현동,0.488303855,0.274668763,0.522871506,0.272727273
서울특별시 서대문구 북아현동,0.210367593,0.258674792,0.388302633,0.090909091
서울특별시 서대문구 신촌동,0.334909121,0.237995344,0.929488347,0.272727273
서울특별시 서대문구 연희동,1,0.396762032,0.611323576,0.181818182
서울특별시 마포구 용강동,0.064226913,0.397745069,0.327214386,0.090909091
서울특별시 마포구 대흥동,0.275980112,0.290834668,0.695440943,0.272727273
서울특별시 마포구 염리동,0.142961937,0.241228381,0.427193131,0
서울특별시 마포구 신수동,0.195125927,0.416224202,0.395386329,0.181818182
서울특별시 마포구 서교동,0.385524493,0.328901788,0.75086181,0.454545455
서울특별시 마포구 합정동,0.23555302,0.331326418,0.551720643,0.272727273
서울특별시 마포구 망원1동,0.326024941,0.32898735,0.501290915,0
서울특별시 마포구 망원2동,0.152742685,0.313698857,0.364859494,0.090909091
서울특별시 마포구 연남동,0.348276143,0.278541944,0.655207856,0.272727273
서울특별시 마포구 성산1동,0.299127883,0.368437465,0.494952762,0.181818182
서울특별시 마포구 성산2동,0.205151194,0.63866795,0.465657812,0.090909091
서울특별시 마포구 상암동,0.076371342,0.504769288,0.362045335,0.272727273
서울특별시 마포구 도화동,0.132121607,0.479427618,0.359142107,0.090909091
서울특별시 마포구 서강동,0.192517728,0.361949845,0.492093956,0.181818182
서울특별시 마포구 공덕동,0.455130818,0.603692755,0.463779151,0
서울특별시 마포구 아현동,0.043931861,0.448036489,0.2639428,0
서울특별시 양천구 목1동,0.037900399,0.57316542,0.096647928,0.090909091
서울특별시 양천구 목2동,0.27019317,0.40070641,0.361953944,0.181818182
서울특별시 양천구 목3동,0.162115902,0.356418404,0.379227632,0.363636364
서울특별시 양천구 목4동,0.220066835,0.350834136,0.272099736,0.181818182
서울특별시 양천구 신월1동,0.392697041,0.315013474,0.435102037,0.272727273
서울특별시 양천구 신월2동,0.260412422,0.35174507,0.239990479,0.090909091
서울특별시 양천구 신월3동,0.349091205,0.224361791,0.497068993,0.090909091
서울특별시 양천구 신월4동,0.126090146,0.387313749,0.177995094,0.181818182
서울특별시 양천구 신월5동,0.208085419,0.36101354,0.305277727,0.181818182
서울특별시 양천구 신월6동,0.01882794,0.203126749,0.181545889,0
서울특별시 양천구 신월7동,0.050615372,0.395307302,0.301185949,0.181818182
서울특별시 양천구 신정1동,0.055913277,0.42020008,0.123961579,0.090909091
서울특별시 양천구 신정2동,0.087374684,0.385255949,0.172222382,0
서울특별시 양천구 신정3동,0.17450485,0.550432634,0.227314293,0
서울특별시 양천구 신정6동,0,0.540602205,0.060203452,0
서울특별시 양천구 신정7동,0.013611541,0.724889403,0.2426782,0
서울특별시 양천구 목5동,0,0.533002957,0.058425762,0.363636364
서울특별시 양천구 신정4동,0.444861032,0.432601107,0.457819196,0.090909091
서울특별시 강서구 염창동,0.069035781,0.543304126,0.213813489,0.090909091
서울특별시 강서구 등촌1동,0.074415193,0.458874808,0.630691524,0
서울특별시 강서구 등촌2동,0.244844731,0.352493076,0.298463847,0
서울특별시 강서구 등촌3동,0,0.588785861,0.454092178,0.181818182
서울특별시 강서구 화곡본동,0.332056402,0.476814119,0.451539973,0.090909091
서울특별시 강서구 화곡2동,0.195777977,0.341846202,0.35799625,0
서울특별시 강서구 화곡3동,0.152905697,0.442897026,0.309188959,0.181818182
서울특별시 강서구 화곡4동,0.249816611,0.368898455,0.393766223,0.090909091
서울특별시 강서구 화곡6동,0.307441519,0.438079025,0.469282574,0.363636364
서울특별시 강서구 화곡8동,0.243866656,0.416719657,0.367781893,0.181818182
서울특별시 강서구 가양1동,0.104898525,0.572791428,0.757416482,0
서울특별시 강서구 가양2동,0,0.519940001,0.599663707,0
서울특별시 강서구 가양3동,0,0.592317416,0.475925288,0
서울특별시 강서구 발산1동,0.17686853,0.475936402,0.165401826,0.090909091
서울특별시 강서구 공항동,0.337680333,0.463167653,0.456904421,0.363636364
서울특별시 강서구 방화1동,0.267340452,0.521233791,0.256101436,0.181818182
서울특별시 강서구 방화2동,0.37085337,0.330578934,0.503215805,0.090909091
서울특별시 강서구 방화3동,0.052653028,0.683226338,0.442335984,0.272727273
서울특별시 강서구 화곡1동,0.351862417,0.550013112,0.513144567,0.181818182
서울특별시 강서구 우장산동,0.182329448,0.494722984,0.193373225,0.181818182
서울특별시 구로구 신도림동,0.085663053,0.634541844,0.184311292,0.181818182
서울특별시 구로구 구로1동,0,0.860278455,0.250592086,0
서울특별시 구로구 구로3동,0.065041976,0.430227961,0.646195437,0.090909091
서울특별시 구로구 구로4동,0.209634037,0.438254602,0.485762552,0.181818182
서울특별시 구로구 구로5동,0.309397669,0.511428235,0.492635047,0.272727273
서울특별시 구로구 고척1동,0.170022007,0.446840068,0.280508033,0.090909091
서울특별시 구로구 고척2동,0.409487326,0.511146726,0.310240495,0.181818182
서울특별시 구로구 개봉2동,0.12837232,0.679104523,0.211999007,0.090909091
서울특별시 구로구 개봉3동,0.1712446,0.497622089,0.250791846,0.090909091
서울특별시 구로구 오류1동,0.24745293,0.585201877,0.540146743,0.181818182
서울특별시 구로구 수궁동,0.870405086,0.420140471,0.249624928,0.181818182
서울특별시 구로구 가리봉동,0.300350477,0.205981224,0.738907241,0.090909091
서울특별시 구로구 구로2동,0.776835928,0.443264907,0.475195187,0.090909091
서울특별시 구로구 개봉1동,0.427663216,0.581254156,0.303047787,0.181818182
서울특별시 구로구 오류2동,0.547395876,0.563318665,0.24589918,0.272727273
서울특별시 구로구 항동,0.131062026,0.34920792,0.245769379,0.090909091
서울특별시 금천구 가산동,0.207514875,0.556499977,0.892993366,0.272727273
서울특별시 금천구 독산1동,0.136441438,1,0.564878199,0.181818182
서울특별시 금천구 독산2동,0.451544543,0.701986185,0.461196697,0.181818182
서울특별시 금천구 독산3동,0.436221371,0.678538049,0.4847721,0.090909091
서울특별시 금천구 독산4동,0.339147445,0.508105577,0.459284746,0.090909091
서울특별시 금천구 시흥1동,0.479990219,0.842569595,0.439444754,0.454545455
서울특별시 금천구 시흥2동,0.033091532,0.975543734,0.213308649,0
서울특별시 금천구 시흥3동,0.525959736,0.366805594,0.293648325,0.181818182
서울특별시 금천구 시흥4동,0.379330019,0.585686289,0.33517891,0.272727273
서울특별시 금천구 시흥5동,0.42627761,0.537111557,0.415656447,0.181818182
서울특별시 영등포구 여의동,0,0.621395231,0.241698902,0
서울특별시 영등포구 당산1동,0.162767952,0.394871274,0.533785296,0.181818182
서울특별시 영등포구 당산2동,0.07881653,0.557575491,0.549977591,0.272727273
서울특별시 영등포구 양평1동,0.149645448,0.307720001,0.558679777,0
서울특별시 영등포구 양평2동,0.095199283,0.453325423,0.430294803,0.181818182
서울특별시 영등포구 신길1동,0.452196593,0.26759617,0.694162642,0.181818182
서울특별시 영등포구 신길3동,0.306463444,0.26962092,0.377349788,0
서울특별시 영등포구 신길4동,0.1738528,0.194475568,0.411143041,0.090909091
서울특별시 영등포구 신길5동,0.269622626,0.172590605,0.366292968,0.090909091
서울특별시 영등포구 신길6동,0.250387155,0.313062966,0.474436781,0.090909091
서울특별시 영등포구 신길7동,0.071154943,0.336160101,0.238285723,0.090909091
서울특별시 영등포구 대림1동,0.343467275,0.255336504,0.428835149,0
서울특별시 영등포구 대림2동,0.475507376,0.339383777,0.56847866,0.090909091
서울특별시 영등포구 대림3동,0.291873828,0.412587673,0.364721154,0.272727273
서울특별시 영등포구 영등포본동,0.355693211,0.293728274,0.432137643,0.181818182
서울특별시 영등포구 영등포동,0.151357079,0.351114035,0.840689199,0.272727273
서울특별시 영등포구 도림동,0.38666558,0.288077892,0.525347422,0.090909091
서울특별시 영등포구 문래동,0.053142065,0.448564724,0.26686668,0.181818182
서울특별시 동작구 노량진2동,0.480316244,0.302854465,0.630490582,0.090909091
서울특별시 동작구 상도1동,0.41242155,0.549935652,0.52375959,0.363636364
서울특별시 동작구 상도2동,0.283641699,0.395883799,0.415537273,0.181818182
서울특별시 동작구 상도3동,0.457005461,0.423180092,0.467976738,0.181818182
서울특별시 동작구 상도4동,0.558154699,0.451502225,0.445021891,0.090909091
서울특별시 동작구 사당1동,0.40940582,0.463536356,0.662745105,0.363636364
서울특별시 동작구 사당3동,0.195370446,0.512939319,0.307640088,0.090909091
서울특별시 동작구 사당4동,0.216725079,0.341609007,0.496401644,0
서울특별시 동작구 사당5동,0.163175483,0.334425145,0.388570531,0.181818182
서울특별시 동작구 대방동,0.36025756,0.536128778,0.450579869,0.272727273
